_search_query,count,median,mean,min,max
data analyst,68,89938.0,93452.0,46800.0,209500.0
business analyst,60,92446.0,103015.0,55000.0,228800.0
data engineer,47,120000.0,124577.0,55120.0,270750.0
data scientist,44,130000.0,129393.0,69582.0,215000.0
data consultant,35,137500.0,141785.0,52500.0,232000.0
BI analyst,4,107400.0,103620.0,74880.0,124800.0
