_skills_list,count,median,mean,min,max
Azure,8,127400.0,134025.0,105000.0,199680.0
SQL,6,121680.0,113100.0,89440.0,128500.0
Data Pipeline,9,120000.0,112039.0,55120.0,142480.0
Machine Learning,9,95700.0,127289.0,72500.0,270750.0
Dashboards,7,92393.0,93964.0,69582.0,125000.0
Reporting,23,89877.0,91202.0,55000.0,147600.0
Predictive Modeling,5,72500.0,83640.0,65000.0,112500.0
