skills,count
Reporting,93
Machine Learning,43
Python,41
SQL,40
Data Pipeline,29
Spark,24
AWS,23
Dashboards,20
Power BI,20
Databricks,20
ETL,20
Azure,20
Statistics,17
Predictive Modeling,16
Excel,15
R,15
Snowflake,11
Java,6
Pandas,4
Looker,3
