_noc21_clean,NOC21 Code Name,count,median,mean,min,max
21211,Data scientists,215,103730.0,104587.0,32500.0,197600.0
21221,Business systems specialists,175,96897.0,96773.0,45760.0,176800.0
21223,Database analysts and data administrators,72,89471.0,89531.0,38688.0,160000.0
21222,Information systems specialists,649,85280.0,87100.0,26260.0,205442.0
